-khn-oderbolz-51-> flexure_rssspec.py m*0063.fits m*006[8-9].fits m*007[0-6].fits filesave
host: Undefined variable.
host: Undefined variable.
2016-09-09 11:10:18.255274

File prefix: 20160725_gr

Mask:            P000000N99
Filter:          PC00000
Grating:         PG2300
Artic (deg):     90.25
Gr Angle (deg):  45.1275
Lamp:            Ne

Mask_Holes Rows Cols  r axis   c axis 
                      pixels   pixels
    323    21    19   1992.9   3175.9

Spec_Spots Lines rshift  cshift      rms
                pixels   pixels   pixels
   1034     8     27.7    -29.6      6.4

Lineno   Wavel   spots  Rows  Cols
     0  5852.49   201    21    15
     5  6143.06   223    21    16
     6  6163.59    60    16    11
     7  6217.28    97    19    14
     9  6304.79   118    18    13
    10  6334.43   152    19    15
    12  6402.25   107    21    11
    13  6506.53    76    20     9

     fits      rho  line  spots  rshift  cshift  rslope  cslope  rmserr 
               deg   Ang         arcsec  arcsec  arcmin  arcmin   bins
201607250073    30  5852   200    0.23   -0.21   -0.80   -0.27    0.20 
201607250073    30  6143   223    0.21   -0.22   -0.63    0.05    0.59 
201607250073    30  6163    60    0.22   -0.20   -0.42   -0.54    0.24 
201607250073    30  6217    94    0.20   -0.22   -0.62   -0.27    0.17 
201607250073    30  6304   116    0.21   -0.21   -0.77   -0.43    0.16 
201607250073    30  6334   150    0.19   -0.22   -0.37   -0.33    0.20 
201607250073    30  6402   107    0.18   -0.22   -0.61   -0.37    0.14 
201607250073    30  6506    76    0.16   -0.22   -1.11   -0.55    0.59 

201607250074    60  5852   200    1.25   -0.26   -0.55   -2.60    0.27 
201607250074    60  6143   221    1.20   -0.27   -0.54   -2.65    0.26 
201607250074    60  6163    60    1.20   -0.24   -0.63   -2.92    0.23 
201607250074    60  6217    94    1.19   -0.26   -0.82   -2.69    0.26 
201607250074    60  6304   116    1.18   -0.25   -0.89   -3.06    0.17 
201607250074    60  6334   152    1.17   -0.26   -0.67   -2.92    0.20 
201607250074    60  6402   107    1.16   -0.27   -0.55   -2.98    0.19 
201607250074    60  6506    76    1.14   -0.27   -0.74   -3.32    0.25 

201607250075    90  5852   199    2.48   -0.12   -0.03   -5.59    0.40 
201607250075    90  6143   220    2.42   -0.10   -0.08   -6.11    0.28 
201607250075    90  6163    60    2.39   -0.07   -0.60   -6.32    0.47 
201607250075    90  6217    94    2.40   -0.09   -0.77   -5.86    0.42 
201607250075    90  6304   116    2.35   -0.07   -0.52   -6.63    0.21 
201607250075    90  6334   152    2.35   -0.07   -0.51   -6.42    0.28 
201607250075    90  6402   107    2.36   -0.08    0.14   -6.69    0.21 
201607250075    90  6506    75    2.33   -0.06    0.50   -7.07    0.33 

201607250076   110  5852   201    3.34    0.09    0.77   -7.62    0.41 
201607250076   110  6143   217    3.26    0.14    0.28   -8.34    0.41 
201607250076   110  6163    58    3.20    0.14   -0.64   -8.63    0.40 
201607250076   110  6217    95    3.23    0.14   -0.54   -7.98    0.62 
201607250076   110  6304   116    3.15    0.19   -0.12   -9.22    0.28 
201607250076   110  6334   150    3.17    0.19   -0.31   -8.97    0.33 
201607250076   110  6402   107    3.18    0.19    0.78   -9.33    0.27 
201607250076   110  6506    75    3.17    0.22    1.34   -9.94    0.31 

201607250071   -30  5852   201    0.59    0.21    1.56   -1.44    0.44 
201607250071   -30  6143   220    0.62    0.23    1.03   -1.45    0.25 
201607250071   -30  6163    59    0.59    0.21    0.62   -1.34    0.28 
201607250071   -30  6217    93    0.62    0.23    0.65   -1.59    0.36 
201607250071   -30  6304   116    0.59    0.25    1.09   -1.60    0.24 
201607250071   -30  6334   151    0.61    0.25    0.80   -1.72    0.24 
201607250071   -30  6402   107    0.64    0.26    1.34   -1.68    0.17 
201607250071   -30  6506    75    0.66    0.27    1.85   -1.95    0.26 

201607250070   -60  5852   200    1.66    0.43    3.14   -3.73    0.41 
201607250070   -60  6143   220    1.72    0.50    2.25   -4.48    0.65 
201607250070   -60  6163    59    1.67    0.44    1.49   -4.37    0.88 
201607250070   -60  6217    92    1.71    0.49    1.61   -4.31    0.70 
201607250070   -60  6304   114    1.67    0.53    2.26   -4.42    0.44 
201607250070   -60  6334   149    1.71    0.54    1.79   -4.45    0.44 
201607250070   -60  6402   107    1.75    0.56    2.81   -4.55    0.29 
201607250070   -60  6506    74    1.80    0.59    4.06   -5.17    0.44 

201607250069   -90  5852   199    2.90    0.69    4.08   -6.79    0.52 
201607250069   -90  6143   216    2.96    0.76    3.08   -7.24    0.89 
201607250069   -90  6163    57    2.88    0.69    1.64   -7.39    1.13 
201607250069   -90  6217    92    2.95    0.78    1.97   -7.61    0.89 
201607250069   -90  6304   113    2.88    0.83    3.03   -7.90    0.62 
201607250069   -90  6334   147    2.94    0.85    2.25   -7.94    0.59 
201607250069   -90  6402   107    3.00    0.87    3.89   -8.34    0.41 
201607250069   -90  6506    75    3.07    0.93    5.76   -8.66    0.66 

201607250068  -110  5852   199    3.75    0.79    4.99   -8.92    0.56 
201607250068  -110  6143   214    3.82    0.90    3.38   -9.59    1.08 
201607250068  -110  6163    55    3.72    0.85    1.30   -7.72    1.27 
201607250068  -110  6217    92    3.81    0.91    2.24   -9.87    0.91 
201607250068  -110  6304   114    3.72    0.97    3.51  -10.25    0.74 
201607250068  -110  6334   147    3.79    0.98    2.67  -10.57    0.65 
201607250068  -110  6402   105    3.86    1.01    4.44  -10.85    0.46 
201607250068  -110  6506    74    3.94    1.07    6.52  -12.01    0.68 

