-khn-oderbolz-56-> flexure_rss.py m*0059.fits m*006[0-7].fits

2016-08-20 16:46:51.513790 

Mask:       P000000N99
Filter:     PI06530
Grating:    N/A

     fits      rho  stars  rshift  cshift  rslope  cslope  rmserr 
              micr         arcsec  arcsec  arcmin  arcmin   bins
201607250063   0.0   325    0.00    0.00    0.00    0.00    0.00 
201607250064    30   325   -0.09    0.82   -2.07   -1.79    0.15 
201607250065    60   325    0.30    0.94   -3.43   -3.12    0.23 
201607250066    90   325    1.00    1.01   -3.55   -3.54    0.34 
201607250067   110   325    1.49    1.08   -3.03   -3.29    0.38 
201607250062   -30   325    0.28   -0.03    1.96    1.57    0.14 
201607250061   -60   325    0.79   -0.02    3.49    2.74    0.20 
201607250060   -90   325    1.46    0.04    4.24    3.23    0.23 
201607250059  -110   325    1.89    0.07    4.23    3.16    0.25 
