# spectrogrpah focus color dependence
# ZEMAX	Offset
# Wav(nm)	Focus(um)
3200	-252.55
3300	-142.43
3400	-62.00
3500	-4.25
3600	36.16
3700	63.28
3800	80.23
3900	89.44
4000	92.78
4100	91.70
4200	87.35
4300	80.62
4400	72.24
4500	62.74
4600	52.56
4700	42.06
4800	31.51
4900	21.11
5000	11.04
5100	1.41
5200	-7.66
5300	-16.09
5400	-23.85
5500	-30.87
5600	-37.14
5700	-42.63
5800	-47.33
5900	-51.24
6000	-54.35
6100	-56.66
6200	-58.19
6300	-58.94
6400	-58.91
6500	-58.13
6600	-56.60
6700	-54.33
6800	-51.34
6900	-47.64
7000	-43.25
7100	-38.17
7200	-32.43
7300	-26.02
7400	-18.98
7500	-11.30
7600	-3.00
7700	5.91
7800	15.42
7900	25.51
8000	36.19
8100	47.43
8200	59.23
8300	71.58
8400	84.47
8500	97.90
8600	111.85
8700	126.32
8800	141.30
8900	156.79
9000	172.78
